x1,x2,x3,x4
0.995094031,,,
0.989040364,,,
0.990657216,,,
0.985655566,,,
0.986135182,,,
0.961184474,,,
0.92584562,,,
0.991286343,,,
1.019674782,,,
0.998507069,,,
1.007388719,,,
0.979395002,,,
1.006749156,,,
0.953734815,,,
1.011573461,,,
0.994303009,,,
0.96473029,,,
1.018246986,,,
1.022874757,,,
1.001568627,,,
0.897058824,,,
0.897463077,,,
0.878703106,,,
0.80304693,,,
0.866799205,,,
0.925827714,,,
0.971464213,,,
0.785746916,,,
0.821142699,,,
1.074498567,,,
0.839352079,,,
0.816783027,,,
0.842119401,,,
0.767036835,,,
0.857239285,,,
0.842508056,,,
0.892334699,,,
0.792112078,,,
0.872274143,,,
0.798888738,,,
0.790938511,,,
0.831145502,,,
0.952270621,,,
0.863787375,,,
0.82269908,,,
0.747860345,,,
0.856273441,,,
0.843484419,,,
0.971028335,,,
0.789055254,,,
1.020932223,,,
0.984892504,,,
1.000485673,,,
0.980240217,,,
0.986091127,,,
0.983750979,,,
0.986450921,,,
0.971659919,,,
0.998236677,,,
0.972542243,,,
1.002801662,,,
0.994870802,,,
0.995527902,,,
0.984475943,,,
0.992270531,,,
0.960076046,,,
0.991540429,,,
0.996493279,,,
0.992762128,,,
0.981642512,,,
0.995750435,,,
0.969129313,,,
1.000193461,,,
0.991831972,,,
1.009047994,,,
0.982889364,,,
0.986874088,,,
0.979190976,,,
0.989638811,,,
0.956969755,,,
1.016518424,,,
0.97598316,,,
0.972089467,,,
0.979788258,,,
0.97879756,,,
0.984987893,,,
0.998626643,,,
1.002027223,,,
1.012038759,,,
0.961046346,,,
0.988989762,,,
0.950598802,,,
0.985326985,,,
0.990990991,,,
0.974746509,,,
0.979918903,,,
0.975187536,,,
0.98700795,,,
0.977472318,,,
0.991863619,,,
0.963068182,,,
0.956457015,,,
0.987427466,,,
0.9836383,,,
0.977914939,,,
0.985750537,,,
0.994991331,,,
0.974917179,,,
0.96692112,,,
0.993975904,,,
0.987797792,,,
1.011928041,,,
1,,,
1.000490436,,,
1.00505501,,,
1.006810779,,,
1.004246075,,,
0.991542724,,,
1.00563631,,,
1.001757469,,,
0.98873592,,,
1.001174398,,,
0.995497259,,,
0.996172343,,,
0.988451752,,,
0.995488427,,,
0.995219046,,,
1.005202709,,,
0.999311498,,,
0.999314867,,,
0.986617173,,,
0.990511232,,,
1.000293055,,,
0.994615761,,,
0.998423024,,,
1.00177305,,,
0.987930699,,,
1.001085991,,,
0.996078431,,,
0.992507541,,,
0.986516636,,,
1.068396917,,,
1.058313253,,,
1.05489774,,,
1.050135501,,,
1.05900591,,,
1.068679981,,,
1.053247513,,,
1.0614364,,,
1.013507131,,,
1.036105243,,,
1.050379304,,,
1.06389186,,,
1.054006969,,,
1.057170543,,,
1.050696594,,,
1.036520391,,,
1.036109774,,,
1.053236308,,,
1.056236134,,,
1.045410628,,,
1.036684135,,,
1.036795707,,,
1.056863315,,,
1.049085659,,,
1.046210011,,,
1.036477741,,,
1.055924912,,,
1.026550369,,,
1.062302613,,,
1.063829787,,,
0.983855651,,,
0.996796684,,,
0.983291723,,,
1.006240999,,,
1.006573138,,,
0.987795576,,,
0.998936273,,,
0.972421033,,,
0.963943405,,,
0.99255103,,,
1.006499713,,,
1.000956938,,,
0.987986545,,,
1.008240427,,,
0.984331443,,,
1,,,
1.017917676,,,
0.996202162,,,
0.993219368,,,
1.029668412,,,
0.975334212,,,
0.987454856,,,
0.976456242,,,
0.974508513,,,
0.980148883,,,
1.015037594,,,
0.988326848,,,
0.965130187,,,
0.998460947,,,
0.981132075,,,
0.949424868,,,
0.91868013,,,
0.914887964,,,
0.989908698,,,
0.98401455,,,
0.98056032,,,
0.971883786,,,
0.971659919,,,
0.97805524,,,
0.974402093,,,
0.967530645,,,
0.981210856,,,
0.93659157,,,
0.962956051,,,
0.963225686,,,
0.937954876,,,
0.980024383,,,
0.982922201,,,
0.970901215,,,
0.972076623,,,
0.966304651,,,
0.974818771,,,
0.965614696,,,
0.983748437,,,
0.990939437,,,
0.975222066,,,
0.975517891,,,
0.944434256,,,
0.94957131,,,
0.991016548,,,
0.88227594,,,
0.809077059,,,
0.937160449,,,
0.921759723,,,
0.908272572,,,
0.868510011,,,
0.879734683,,,
0.862668589,,,
0.934882464,,,
0.934470377,,,
0.958852038,,,
0.951667291,,,
0.962899216,,,
0.867725781,,,
0.924733162,,,
0.922880117,,,
0.885150608,,,
0.953721956,,,
0.930189552,,,
0.97733972,,,
0.890508354,,,
0.919117647,,,
0.975935829,,,
0.971511347,,,
0.958372753,,,
0.913915625,,,
0.920910076,,,
0.946619874,,,
0.976278235,,,
0.828514786,,,
1.016732283,,,
1.044682752,,,
1.022556391,,,
1.277070064,,,
1.395061728,,,
1.098271156,,,
1.024832856,,,
1.031596926,,,
0.995224451,,,
1.041509434,,,
1.046182846,,,
1.013623978,,,
1.03047619,,,
1.033544878,,,
1.087768441,,,
1.056481481,,,
1.007511737,,,
1.02525725,,,
1.01722488,,,
1.052007299,,,
1.108156028,,,
1.012416428,,,
1.012927054,,,
1.043676069,,,
1.107176142,,,
1.174438687,,,
1.05364627,,,
1.039800995,,,
1.214969539,,,
1.115858669,,,
1.015858209,,,
1.064969271,,,
1.068822554,,,
1.134290541,,,
1.407784986,,,
1.105978261,,,
1.041108987,,,
1.00085034,,,
0.992091388,,,
1.075067024,,,
1.094001791,,,
1.056057866,,,
1.071761417,,,
1.125114995,,,
1.043079743,,,
1.063477461,,,
1.042457091,,,
1.024861878,,,
1.059981256,,,
1.088372093,,,
1.082324455,,,
1.072243346,,,
1.041058394,,,
1.088550984,,,
1.068709378,,,
1.249768733,,,
1.095753539,,,
1.136936937,,,
1.177377892,,,
1.099152542,,,
1.019803682,,,
0.786132346,,,
1.089169977,,,
1.471242972,,,
1.371262805,,,
1.041122199,,,
0.905211433,,,
1.014035088,,,
1.084674324,,,
1.10555371,,,
1.139979305,,,
1.115998134,,,
1.098871047,,,
1.175794507,,,
1.110459001,,,
1.046255295,,,
0.96898527,,,
1.08043341,,,
1.091430331,,,
0.993504021,,,
1.128803382,,,
1.008797097,,,
1.146594645,,,
1.102267767,,,
1.076321993,,,
1.447539701,,,
1.145603202,,,
1.10425125,,,
1.035348649,,,
1.233542279,,,
0.958285906,,,
0.851563619,,,
1.034888103,,,
1.1490442,,,
1.117100718,,,
1.041817727,,,
0.9798506,,,
1.000475282,,,
1.124727294,,,
1.089217809,,,
1.192011006,,,
1.121521885,,,
1.093644587,,,
1.093343934,,,
1.080167071,,,
1.025218631,,,
1.022157734,,,
1.071709094,,,
1.058637652,,,
0.957512241,,,
1.061619442,,,
0.999762972,,,
1.063743337,,,
0.987801871,,,
0.960672554,,,
1.140308539,,,
1.026125779,,,
1.021616114,,,
1.067760838,,,
1.033759997,,,
1.190049032,,,
1.217007545,,,
1.315674722,,,
1.339373199,,,
1.35687028,,,
1.148495474,,,
1.247513804,,,
1.262978241,,,
1.255489587,,,
1.337854625,,,
1.37535167,,,
1.335503077,,,
1.415624404,,,
1.29555717,,,
1.225151633,,,
1.288430604,,,
1.269044267,,,
1.291770024,,,
1.273936283,,,
1.222727836,,,
1.246007495,,,
1.212314218,,,
1.305818461,,,
1.182526452,,,
1.140354087,,,
1.287070903,,,
1.238741031,,,
1.223404817,,,
1.243726388,,,
1.262726178,,,
1.228999755,,,
1.126885064,,,
1.326097556,,,
1.301410046,,,
1.180682618,,,
1.065773596,,,
1.195658232,,,
1.141507111,,,
1.278175986,,,
1.422424682,,,
1.415454839,,,
1.381204435,,,
1.320484948,,,
1.338440009,,,
1.260244583,,,
1.252228801,,,
1.302928424,,,
1.335738403,,,
1.332707961,,,
1.33462474,,,
1.134343228,,,
1.281631758,,,
1.387523778,,,
1.287802518,,,
1.254622287,,,
1.279088444,,,
1.211204815,,,
1.065040997,,,
1.169194687,,,
1.262871463,,,
1.041574024,,,
0.817209207,,,
0.881348462,,,
1.009601421,,,
0.859609417,,,
0.829367104,,,
0.9323139,,,
0.75492889,,,
1.080476235,,,
0.983929889,,,
0.934006067,,,
0.955267699,,,
0.89645177,,,
0.910917185,,,
0.870999236,,,
0.910930554,,,
0.934621119,,,
0.88181787,,,
0.90643865,,,
0.833182147,,,
0.925384916,,,
0.93608158,,,
0.993230682,,,
1.17739483,,,
0.878584379,,,
0.899112333,,,
0.878529281,,,
1.209073284,,,
0.900207449,,,
0.854954207,,,
0.556440594,,,
0.403423067,,,
0.76064076,,,
0.094831865,,,
0.412629264,,,
0.352210903,,,
0.996520009,,,
0.071513113,,,
1.902577324,,,
0.725065662,,,
0.731623436,,,
0.342663298,,,
0.107248126,,,
0.286979556,,,
0.713230603,,,
0.077134823,,,
1.564764137,,,
2.302336623,,,
0.643272303,,,
0.055176127,,,
0.17211308,,,
0.669029919,,,
0.732186085,,,
0.666442587,,,
0.356430649,,,
0.56705476,,,
0.28066726,,,
0.617896389,,,
0.788203513,,,
0.551125575,,,
2.26840356,,,
1.594745161,,,
1.032981512,,,
1.346890989,,,
1.146464567,,,
1.477694209,,,
1.555710068,,,
1.471191945,,,
1.579690253,,,
1.421717802,,,
1.444729496,,,
2.649494847,,,
1.304802616,,,
1.774826728,,,
1.789724842,,,
1.544948646,,,
1.839255931,,,
1.580500079,,,
1.327920413,,,
1.372757222,,,
2.078175174,,,
2.220316095,,,
2.003214434,,,
1.358545099,,,
1.414771261,,,
2.260512031,,,
1.281009611,,,
0.237674876,,,
1.318377993,,,
1.474364504,,,
1.260025378,,,
0.924269248,,,
0.937480915,,,
1.04573509,,,
1.000745138,,,
0.871183897,,,
1.044065297,,,
0.814993309,,,
1.194985043,,,
1.035498987,,,
0.966235664,,,
1.051051801,,,
0.940846999,,,
0.991303774,,,
0.952554526,,,
0.956677829,,,
0.997895285,,,
0.988791086,,,
0.944640593,,,
0.901794047,,,
1.058224003,,,
1.047861092,,,
1.004578809,,,
1.150435927,,,
0.897474299,,,
0.958388612,,,
0.935002872,,,
1.169774947,,,
0.941204151,,,
0.876192743,,,
1.225165563,,,
1.230769231,,,
1.095238095,,,
1.052631579,,,
1.071428571,,,
1.1875,,,
0.9,,,
1,,,
1.231884058,,,
1.317391304,,,
1.286885246,,,
1.301886792,,,
1.098360656,,,
1.304347826,,,
1.265060241,,,
1.153846154,,,
1.173913043,,,
1.194444444,,,
1.447619048,,,
1,,,
1.1,,,
1.148148148,,,
1.333333333,,,
1.2,,,
1.133333333,,,
1.321428571,,,
0.941176471,,,
1,,,
1,,,
1.033333333,,,
1.216216216,,,
1.1875,,,
1.130434783,,,
1.05,,,
1.0625,,,
1.176470588,,,
0.95,,,
1,,,
1.181467181,,,
1.309322034,,,
1.28340081,,,
1.280701754,,,
1.095238095,,,
1.291666667,,,
1.255555556,,,
1.129032258,,,
1.166666667,,,
1.216216216,,,
1.405172414,,,
1,,,
1.083333333,,,
1.172413793,,,
1.3125,,,
1.266666667,,,
1.133333333,,,
1.321428571,,,
0.941176471,,,
1,,,
1,,,
1.032258065,,,
0.870634801,,,
0.659849893,,,
0.383044564,,,
1.253790241,,,
0.105616528,,,
0.377160397,,,
0.61229031,,,
0.321603453,,,
1.100305181,,,
1.048945894,,,
0.552280291,,,
0.860476788,,,
0.626462197,,,
0.466768566,,,
0.476799279,,,
0.73671223,,,
1.380379209,,,
1.01522939,,,
0.890552782,,,
0.915733996,,,
1.547085202,,,
0.93889914,,,
1.056563102,,,
0.345914724,,,
0.872180159,,,
0.850227535,,,
0.421978377,,,
0.515573123,,,
0.042105263,,,
0.155797101,,,
0.91215828,,,
0.899830221,,,
0.921751589,,,
1.186238154,,,
0.606088759,,,
0.417031598,,,
0.712762541,,,
1.660638111,,,
0.938664205,,,
0.686526863,,,
0.549103643,,,
2.021763238,,,
0.405463494,,,
0.80112768,,,
0.35365027,,,
5.099503722,,,
0.795571576,,,
2.036085132,,,
1.163796123,,,
0.2,,,
1.642105263,,,
0.550989346,,,
1.613539294,,,
1.138792683,,,
1.392562404,,,
5.114207221,,,
1.072218128,,,
0.354609929,,,
1.018126888,,,
0.570597015,,,
1.019271696,,,
0.677337465,,,
0.384231118,,,
3.364235912,,,
0.273651916,,,
0.527863658,,,
0.455950314,,,
0.588753272,,,
1.413039269,,,
1.282559571,,,
1.014622384,,,
0.623754347,,,
0.511990977,,,
0.418757292,,,
0.683175664,,,
0.744693491,,,
0.808923276,,,
1.139743345,,,
1.18026884,,,
1.039470239,,,
1.357770525,,,
0.722430032,,,
0.80005769,,,
0.632638337,,,
0.183428643,,,
0.683113553,,,
0.176316648,,,
1.048365666,,,
1.142724982,,,
0.490854101,,,
1.003465542,,,
0.759773401,,,
0.414273788,,,
3.660585605,,,
0.256702635,,,
0.528541196,,,
0.42750456,,,
0.630749117,,,
1.421950189,,,
1.271825449,,,
0.991646771,,,
0.588315459,,,
0.502773464,,,
0.384415136,,,
0.622256909,,,
0.646530791,,,
0.83180503,,,
1.160404303,,,
1.226076706,,,
1.038152676,,,
2.915620642,,,
0.608977154,,,
0.785442558,,,
0.666908309,,,
0.294166074,,,
0.672044492,,,
0.227539718,,,
1.29568239,,,
0.914236324,,,
0.626527051,,,
1.42715344,,,
1.287056939,,,
1.383188333,,,
1.027351085,,,
0.614169288,,,
0.69844796,,,
0.47178769,,,
0.893704018,,,
1.680860455,,,
1.364900275,,,
1.606920905,,,
1.463724999,,,
0.988661107,,,
1.658969601,,,
1.115818387,,,
1.033908389,,,
1.617302923,,,
1.309859996,,,
1.620215022,,,
1.198641396,,,
0.726889365,,,
0.984409099,,,
1.255134873,,,
1.150336637,,,
1.09796107,,,
1.55616664,,,
1.466169935,,,
2.623082346,,,
1.03854127,,,
0.761648148,,,
1.681016463,,,
0.768086268,,,
1.306460394,,,
1.269754929,,,
0.633053662,,,
1.197006313,,,
1.829465649,,,
1.315781043,,,
1.533558233,,,
1.383656022,,,
1.12392119,,,
1.110284709,,,
1.20382936,,,
1.253600545,,,
0.964766263,,,
1.51563378,,,
1.079802458,,,
0.977220865,,,
1.160566403,,,
0.891228148,,,
1.00333364,,,
1.214631037,,,
0.996263204,,,
1.037636496,,,
0.636834746,,,
1.037071811,,,
1.726460577,,,
1.6838536,,,
1.3268634,,,
0.840327233,,,
2.678571429,,,
2.017391304,,,
0.818965517,,,
0.861111111,,,
0.896296296,,,
1.208053691,,,
2.107692308,,,
1.020134228,,,
1.333333333,,,
1.181102362,,,
0.917159763,,,
1.208,,,
1.695238095,,,
1.223300971,,,
1.207920792,,,
1.322580645,,,
9.309278351,,,
1.373737374,,,
3.027027027,,,
4.205357143,,,
0.937777778,,,
1.201834862,,,
1.46875,,,
1.425531915,,,
0.852040816,,,
0.867647059,,,
1.370860927,,,
1.731092437,,,
0.926829268,,,
1.385245902,,,
0.879305437,,,
1.052583862,,,
1.176593658,,,
1.585848075,,,
0.818532819,,,
0.732123973,,,
0.533399307,,,
1.08672609,,,
1.052432372,,,
1.285098573,,,
1.208774941,,,
1.075504915,,,
1.136021505,,,
